municipio,qtd_proc,qtd_toi,qtd_nega,qtd_corte,qtd_reclamacao,qtd
JAPERI,144.868013292014,521.599522084905,1862.74875854087,1443.45293656424,511.14512937311,26783
QUEIMADOS,144.673217906723,325.612228981438,2265.05225393854,1533.49711433474,538.917485571674,51288
NILOPOLIS,136.01299228583,79.89675772867,2175.77286700307,1444.37677628908,566.382460414129,68964
NOVA IGUACU,132.612285545009,194.947623189502,2162.92276468883,1514.67307037779,641.883800375651,317316
SAO JOAO DE MERITI,99.1613304425285,122.691137666179,2343.45675277456,1371.11548093245,573.118875947495,178497
DUQUE DE CAXIAS,98.0062969289089,137.082293172163,1977.98508007416,1438.12318428006,545.36075952447,205497
MESQUITA,96.7493364536659,95.0369588173179,2298.72427866092,1433.54547789606,544.250692085961,70078
PARACAMBI,92.932004749858,272.60054726625,2718.26113893335,1301.56435541329,501.832825649233,19369
BELFORD ROXO,88.1637984205498,190.96109424698,1967.96352510068,1319.73587141872,522.089324803173,165374
BARRA MANSA,71.995316567642,11.2103434101865,2848.54826052838,1108.20472578254,251.734489244298,80283
,67.5477239353891,96.9162995594714,2549.19236417034,1074.88986784141,496.32892804699,3405
RIO DE JANEIRO,51.0409128299498,53.9941534194556,1551.87569085979,909.270737634524,460.374685434603,2871422
ITAGUAI,49.951028403526,94.0254652301665,2552.20372184133,1253.47698334966,432.125367286974,51050
SAPUCAIA,38.3669454008854,3.93507132316773,2646.3354648303,676.83226758485,266.601082144614,10165
SEROPEDICA,36.7315822302308,31.1871924596299,2634.27818975674,1302.23854736988,406.819599417839,28858
MIGUEL PEREIRA,36.3758841360727,6.06264735601213,2629.84169754126,988.885146513978,196.025597844392,14845
MENDES,32.54039497307,19.0754039497307,2921.90305206463,1097.39676840215,311.938958707361,8912
PINHEIRAL,32.1449444769141,23.3781414377557,3305.08474576271,1076.36859536334,338.983050847458,10266
TRES RIOS,31.6613409164199,27.263932455806,3178.15367476767,1394.27164257864,200.521825803993,34111
PIRAI,29.5267042987408,6.0790273556231,3104.64611376465,951.801997394703,296.135475466782,11515
VALENCA,28.1117791137831,8.07169895346248,2888.27655310621,1050.15586729014,228.51258071699,35928
PATY DO ALFERES,27.9904503169507,6.58598830987075,3218.0785379106,1199.47312093521,270.025520704701,12147
PARAIBA DO SUL,26.6811870405663,15.2463925946093,2924.04029403757,1007.35093928669,218.350122515655,18365
RIO DAS FLORES,25.1677852348993,5.59284116331096,2869.12751677852,872.48322147651,240.492170022371,3576
RIO CLARO,24.7524752475248,5.21104742053153,2395.77905158937,693.069306930693,297.029702970297,7676
CARMO,22.6472068444892,3.77453447408153,2677.40312028183,985.153497735279,181.177654755913,7948
ENG PAULO DE FRONTIN,21.0589651022864,18.0505415162455,2691.0348977136,910.048134777377,348.977135980746,6648
VOLTA REDONDA,20.6809710049451,24.5169575623139,2690.1940508852,1127.61326584221,260.847085901082,119917
CDOR LEVY GASPARIAN,19.5258019525802,13.9470013947001,3330.54393305439,1149.23291492329,161.785216178522,3585
QUATIS,18.3915733154991,1.67196121049992,2512.95769938137,800.86941982946,197.29142283899,5981
BARRA DO PIRAI,17.3618940248027,12.1758737316798,3193.91206313416,1228.18489289741,238.556933483653,44350
VASSOURAS,16.0054875957471,7.43111924088259,3016.46278724134,1163.25597347662,292.671773179376,17494
