0;Antecedente;Valor;1;Consequente;Valor;Conf;Lift;Lev;Conv
16;corte-bt fiscalizacao-bt ;46776;3;religacao-bt ;26404;0.56;6.88;0;2.11
6;corte-bt religacao-bt ;308806;10;fiscalizacao-bt ;26404;0.09;6.23;0;1.08
10;fiscalizacao-bt ;64097;6;corte-bt religacao-bt ;26404;0.41;6.23;0;1.59
3;religacao-bt ;383478;16;corte-bt fiscalizacao-bt ;26404;0.07;6.88;0;1.06
20;religacao-bt fiscalizacao-bt ;28078;2;corte-bt ;26404;0.94;8.99;0.01;15.01
2;corte-bt ;489093;21;religacao-bt ren ;23168;0.05;6.28;0;1.04
6;corte-bt religacao-bt ;308806;9;ren ;23168;0.08;1.14;0;1.01
18;corte-bt ren ;52998;3;religacao-bt ;23168;0.44;5.33;0;1.63
3;religacao-bt ;383478;18;corte-bt ren ;23168;0.06;5.33;0;1.05
21;religacao-bt ren ;35276;2;corte-bt ;23168;0.66;6.28;0;2.61
9;ren ;306902;6;corte-bt religacao-bt ;23168;0.08;1.14;0;1.01
8;reclamacao ;207044;22;verif-instalacao-bt ;20774;0.1;7.62;0;1.1
22;verif-instalacao-bt ;61563;8;reclamacao ;20774;0.34;7.62;0;1.44
