lat,lon
-22.9202406,-43.1768965
-22.9242259,-43.2267027
-22.9242259,-43.2267027
-22.9142933,-43.1831291
-22.9106697,-43.1897487
-22.916283,-43.2122934
-22.916283,-43.2122934
-22.9014807,-43.1804051
-22.9691282,-43.1879268
-22.9224191,-43.2090146
-22.9257279,-43.1771679
-22.9685778,-43.1862977
-22.9017656,-43.1814366
-22.9129285,-43.2359792
-22.9017656,-43.1814366
-22.9197261,-43.2117069
-22.9178075,-43.2092954
-22.9257241,-43.1772126
-22.9181105,-43.1770932
-22.9642553,-43.1924849
-22.9642553,-43.1924849
-22.8978931,-43.1922444
-22.9170572,-43.1785779
-22.9102973,-43.1884529
-22.9678665,-43.1898494
-22.9166475,-43.1786404
-22.9166475,-43.1786404
-22.9149132,-43.2472828
-22.91458,-43.2473436
-22.9681939,-43.1889738
-22.9199178,-43.1769971
-22.9152072,-43.2479353
-22.9152072,-43.2479353
-22.9028149,-43.272959
-22.941127,-43.3541308
-22.9255016,-43.257255
-22.8193024,-43.1886389
-22.9028225,-43.2825275
-22.9028539,-43.2730249
-22.8747731,-43.3470494
-22.8930013,-43.2563646
-22.9012269,-43.2629167
-22.9013817,-43.2707691
-22.9125318,-43.2719358
-22.9034601,-43.2836772
-22.9033647,-43.2837791
-22.9013817,-43.2707691
-22.8954976,-43.2910667
-22.8801065,-43.3469496
-22.8800707,-43.3473881
-22.8800707,-43.3473881
-22.9280776,-43.2597155
-22.876733,-43.3513244
-22.8114191,-43.1902221
-22.8929791,-43.2851869
-22.8629196,-43.3539668
-22.8639713,-43.3542321
-22.8622798,-43.3537218
-22.8622798,-43.3537218
-22.8859444,-43.2741845
-22.8694515,-43.3472015
-22.9185969,-43.2131701
-22.9134688,-43.2721488
-22.8705473,-43.3448782
-22.9216003,-43.2293981
-22.9043755,-43.2995188
-22.8718353,-43.2987391
-22.8718353,-43.2987391
-22.8763196,-43.3451255
-22.8763196,-43.3451255
-22.9187127,-43.2263658
-22.809399,-43.1813753
-22.9045722,-43.3042037
-22.87088,-43.3003652
-22.9210425,-43.222268
-22.9081973,-43.2740084
-22.9028074,-43.2822612
-22.8119676,-43.342139
-22.8746066,-43.260558
-22.8244499,-43.3345326
-22.8481538,-43.3101013
-22.8503555,-43.3137739
-22.8503555,-43.3137739
-22.8899666,-43.3612932
-22.8173615,-43.3456406
-22.8509281,-43.3134621
-22.8223199,-43.3341688
-22.8153479,-43.3389011
-22.8443793,-43.3179621
-22.8747801,-43.2619612
-22.9366079,-43.3522379
-22.8148071,-43.3382649
-22.8840216,-43.4289538
-22.8159196,-43.3366715
-22.8159196,-43.3366715
0,0
-22.8763592,-43.2568573
-22.8149772,-43.3063026
-22.8465541,-43.3088818
-22.8145656,-43.340824
-22.8803844,-43.257031
-22.8560318,-43.3210725
-22.8920072,-43.4825345
-22.8899618,-43.3612975
-22.8,-43.2
-22.8706667,-43.3080462
-22.8706667,-43.3080462
-22.9043496,-43.2989027
-22.8965348,-43.2769287
-22.8881512,-43.2709624
-22.9188184,-43.2395864
-22.9298574,-43.2341636
-22.8914124,-43.4831362
-22.9026892,-43.3044163
-22.9183319,-43.2384854
-22.9113807,-43.2727962
-22.9023235,-43.3059188
-22.9018387,-43.3076606
-22.9004389,-43.265378
-22.9059076,-43.2578089
-22.9059076,-43.2578089
-22.9252,-43.2635316
-22.7991303,-43.1848696
-22.8987265,-43.2581015
-22.9157033,-43.2446175
-22.9254446,-43.2640717
-22.9286323,-43.23846
-22.7966507,-43.1948556
-22.8001424,-43.1977778
-22.8666409,-43.3773048
-22.8666409,-43.3773048
-22.9002023,-43.2907095
-22.875498,-43.3433458
-22.875498,-43.3433458
-22.8419387,-43.4065407
-22.8518711,-43.2499617
-22.8498062,-43.2719666
-22.8498062,-43.2719666
-22.8498062,-43.2719666
-22.9280838,-43.3519898
-22.8498062,-43.2719666
-22.8804019,-43.3374196
-22.8798811,-43.3373745
-22.849831,-43.3035061
-22.849831,-43.3035061
-22.8559592,-43.2671515
-22.8771285,-43.342687
-22.8240797,-43.3250815
-22.849831,-43.3035061
-22.8322494,-43.3140617
-22.849831,-43.3035061
-22.8283539,-43.4060707
-22.8322233,-43.4142704
-22.8531876,-43.3212067
-22.8298343,-43.3149962
-22.8506726,-43.3220905
-22.8291475,-43.3151136
-22.8525929,-43.2712088
-22.8545333,-43.268704
-22.8386165,-43.2776492
-22.8397282,-43.2782952
-22.8737272,-43.3433458
-22.8240797,-43.3250815
-22.8365985,-43.4105844
-22.9621721,-43.352999
-22.9621721,-43.352999
-22.9621721,-43.352999
-22.8349963,-43.4131807
-22.8545462,-43.2701453
-22.8545462,-43.2701453
-22.9327991,-43.3510464
-22.8518711,-43.2499617
-22.8392048,-43.2779888
-22.9230975,-43.351499
-22.8518711,-43.2499617
-22.8397294,-43.2767467
-22.8397294,-43.2767467
-22.8768781,-43.3407652
-22.8791138,-43.3373215
-22.8508433,-43.2486641
-22.828451,-43.3149433
-22.8316838,-43.2930997
-22.8838528,-43.425942
-22.9556319,-43.6027292
-22.9556319,-43.6027292
-22.758289,-43.4620923
-22.758289,-43.4620923
-22.9573395,-43.602904
-22.7611859,-43.4642133
-22.7611859,-43.4642133
-22.9559544,-43.6087315
-22.6825568,-43.4482252
-22.6825568,-43.4482252
-22.9607721,-43.6033295
-22.7552574,-43.4671319
-22.7552574,-43.4671319
-22.6796243,-43.4495737
-22.6796243,-43.4495737
-22.7270503,-43.333087
-22.7270503,-43.333087
-22.8159179,-43.3207046
-22.738452,-43.4588931
-22.738452,-43.4588931
-22.8798122,-43.427129
-22.8749164,-43.4525433
-22.8749164,-43.4525433
-22.7365523,-43.4607204
-22.7365523,-43.4607204
-22.7955792,-43.4250244
-22.8750567,-43.4663492
-23.004624,-43.6367891
-22.7606366,-43.45753
-22.6820739,-43.4455176
-22.6767408,-43.4493144
-22.8751644,-43.4723931
-23.0035426,-43.6378273
-23.0035426,-43.6378273
-23.0022513,-43.6333474
-22.7607256,-43.4630698
-22.7607256,-43.4630698
-22.7583633,-43.3052056
0,0
0,0
0,0
-22.532372,-44.116961
-22.9266875,-43.2600144
-22.7542824,-43.3066182
0,0
0,0
0,0
-22.5723128,-43.7028264
0,0
-22.7969724,-43.3677219
-22.7969724,-43.3677219
-22.7964248,-43.3680273
-22.7945814,-43.369002
-22.7945814,-43.369002
0,0
-22.7239799,-43.2902105
0,0
-22.7978297,-43.3721623
-22.4693445,-43.8267088
-22.7209168,-43.3318802
-22.7126001,-43.5310836
-22.7153289,-43.5271539
-22.7791208,-43.3783304
-22.5317606,-44.1152749
-22.8128714,-43.4246948
-22.7950272,-43.3736295
-22.086537,-43.2148284
-22.7487424,-43.3662645
-22.7487424,-43.3662645
-22.353393,-43.8757822
-22.353393,-43.8757822
-22.7591765,-43.3093916
-22.7999053,-43.3708354
-22.7426025,-44.1006598
0,0
0,0
-22.4878434,-43.811171
0,0
-22.7434881,-43.3933881
0,0
-22.7979936,-43.3695754
-22.7426025,-44.1006598
-22.4973311,-43.8314886
-22.4973311,-43.8314886
-22.1037706,-43.1965048
-22.7426025,-44.1006598
-22.8137959,-43.4239176
-22.8137959,-43.4239176
0,0
-22.8144302,-43.4254826
-22.7984372,-43.3698878
0,0
0,0
0,0
0,0
-22.9123577,-43.1938968
-22.9145112,-43.1839788
-22.975447,-43.1885338
-22.9677071,-43.1883412
-22.9718501,-43.186215
-22.9704177,-43.1857468
-22.9684697,-43.1873887
-22.9145112,-43.1839788
-22.8844277,-43.4311525
-22.9680899,-43.1866395
-22.9676431,-43.1858187
-22.9128316,-43.1993612
-22.9121661,-43.2001315
-22.9725852,-43.186834
-22.9735234,-43.1896393
-22.9144349,-43.210954
-22.9338858,-43.1951495
-22.9837765,-43.6975601
-22.914744,-43.1853079
-22.914744,-43.1853079
-22.7800237,-43.3084486
-22.914744,-43.1853079
-22.966067,-43.2340661
-22.966067,-43.2340661
-22.9210029,-43.1848224
-22.912671,-43.1945355
-22.353393,-43.8757822
-22.353393,-43.8757822
-22.9835885,-43.2316054
0,0
-22.5322028,-44.1797382
-22.5322028,-44.1797382
-22.5322028,-44.1797382
-22.5322028,-44.1797382
-22.9851295,-43.2295963
-22.9843205,-43.2327534
-22.5438995,-44.1695545
-22.9109773,-43.1857369
-22.5074054,-44.0884218
-22.9721942,-43.2253983
0,0
-22.974559,-43.2294612
-22.5271919,-44.1796955
-22.9759187,-43.2264379
-22.9743042,-43.2283352
-22.5302476,-44.178345
-22.5302476,-44.178345
-22.9820873,-43.2377611
-22.9820873,-43.2377611
-23.0122345,-43.2929608
-22.53906,-44.1703461
-22.985736,-43.1940858
-22.985736,-43.1940858
-22.9845554,-43.2300318
-22.9583855,-43.1986556
-22.9131044,-43.1812964
-22.9131044,-43.1812964
-22.9047812,-43.1757606
-22.353393,-43.8757822
-22.9820566,-43.2387837
-22.353393,-43.8757822
-22.9851397,-43.2301681
-22.9851397,-43.2301681
-22.985046,-43.230193
-22.9778055,-43.2267799
-22.9843208,-43.2297242
-22.8767505,-43.4238696
-22.8276896,-43.5540842
-22.8667725,-43.4526129
-22.8249662,-43.2821413
-22.8235994,-43.3043283
-22.8240654,-43.2987545
-22.827061,-43.3026229
-22.8673588,-43.4521662
-22.8262338,-43.2815746
-22.8247708,-43.3037219
-22.8247708,-43.3037219
-22.8890887,-43.4391459
-22.8752489,-43.4453139
-22.8663829,-43.4529004
-22.8842436,-43.4259419
-22.9993794,-43.6510787
-22.7471287,-43.4982044
-22.7560989,-43.4271468
-22.8559597,-43.4507244
-22.8648389,-43.4540492
-22.8648389,-43.4540492
-22.8932306,-43.4403973
-22.7818574,-43.4246334
-22.7413914,-43.7052531
-22.8926533,-43.4391925
-22.7538261,-43.5023854
-22.8926533,-43.4391925
-22.8926533,-43.4391925
0,0
-22.8374937,-43.3032775
-22.8374937,-43.3032775
-22.8275873,-43.3005137
0,0
0,0
-22.7102287,-43.5216126
-22.7266521,-43.3912508
-22.7359094,-43.3450799
-22.7789905,-43.3451561
-22.7789905,-43.3451561
-22.7789905,-43.3451561
-22.7320218,-43.4821746
-22.8133484,-43.4209333
-22.7658027,-43.3560154
